tweet,label
"RT @EdKrassen: BREAKING: Putin had Russian opposition leader Alexei Navalny arrested today, helping ensure that he wins re-election. This c…",neutral
"RT @genebsperling: Someone needs to inform Trump that black unemployment fell dramatically from 16.5% to 7.8% from Jan 2010-Jan 2017; that…",neutral
"RT @MarkSimoneNY: After shooting his brother, stabbing his producer, and punching his sister-in-law in an elevator, Jay Z says he doesn’t l…",negative
"RT @ananavarro: Reportedly, @chefjoseandres was kicked out of @CafeMilanoDC b/c @IvankaTrump felt uncomfortable. And Trump-fans have the ga…",negative
"RT @EdKrassen: Tomorrow Russian Operative Donald Trump has a deadline to implement Russian sanctions which the Senate voted in favor of by…",neutral
"RT @VictoriaECM: OMGospel @CapehartJ said about #JayZ and the @realDonaldTrump beef — this is the first time that Trump is punching up! Bec…",positive
"RT @keithboykin: Somebody please inform Donald Trump that black unemployment was cut in half under President Obama, that Trump lied about i…",neutral
"RT @JulianAssange: Notably, Kristol's Washington Free Beacon was the initiator of the Fusion GPS dodgy dossier https://t.co/M8vSMDx4XF",positive
"RT @kylegriffin1: Lindsey Graham pushes back on Trump’s border wall demands: “You don’t need $25 billion for a wall… we’re not going to bui…",neutral
"RT @StephenMilIer: Donald Trump is the only President in history to enter the Oval Office without the support of a political party.",neutral
"RT @rafalhill: Hannah Arendt wrote: "The road to totalitarian domination leads through many intermediate stages for which we can find numer…",positive
"And NOW... Trump's alleged affair with adult star 'not a workplace issue' – Republican senator https://t.co/5gr1LDsbHA",neutral
"RT @StephenMilIer: Donald Trump is the only President in history to enter the Oval Office without the support of a political party.",neutral
"RT @Pajjr2016: #SOTU #SundayMorning

Trump lies about everything. Listen to him promise that he will not have time for golf. that is all he…",neutral
"@AJDelgado13 Interesting....didn't know that about California...so technically NBC broke the law when it recorded T… https://t.co/O03k7abe57",neutral
